Date,Close
1/2/2019 16:00:00,76.96
1/3/2019 16:00:00,75.01
1/4/2019 16:00:00,78.77
1/7/2019 16:00:00,81.48
1/8/2019 16:00:00,82.83
1/9/2019 16:00:00,82.97
1/10/2019 16:00:00,82.81
1/11/2019 16:00:00,82.03
1/14/2019 16:00:00,80.86
1/15/2019 16:00:00,83.73
1/16/2019 16:00:00,84.19
1/17/2019 16:00:00,84.66
1/18/2019 16:00:00,84.81
1/22/2019 16:00:00,81.61
1/23/2019 16:00:00,82
1/24/2019 16:00:00,82.75
1/25/2019 16:00:00,83.53
1/28/2019 16:00:00,81.89
1/29/2019 16:00:00,79.69
1/30/2019 16:00:00,83.52
1/31/2019 16:00:00,85.94
2/1/2019 16:00:00,81.31
2/4/2019 16:00:00,81.67
2/5/2019 16:00:00,82.94
2/6/2019 16:00:00,82.01
2/7/2019 16:00:00,80.72
2/8/2019 16:00:00,79.41
2/11/2019 16:00:00,79.55
2/12/2019 16:00:00,81.9
2/13/2019 16:00:00,82
2/14/2019 16:00:00,81.13
2/15/2019 16:00:00,80.4
2/19/2019 16:00:00,81.38
2/20/2019 16:00:00,81.11
2/21/2019 16:00:00,80.97
2/22/2019 16:00:00,81.58
2/25/2019 16:00:00,81.65
2/26/2019 16:00:00,81.82
2/27/2019 16:00:00,82.05
2/28/2019 16:00:00,81.99
3/1/2019 16:00:00,83.59
3/4/2019 16:00:00,84.81
3/5/2019 16:00:00,84.62
3/6/2019 16:00:00,83.45
3/7/2019 16:00:00,81.3
3/8/2019 16:00:00,81.04
3/11/2019 16:00:00,83.53
3/12/2019 16:00:00,83.66
3/13/2019 16:00:00,84.54
3/14/2019 16:00:00,84.31
3/15/2019 16:00:00,85.62
3/18/2019 16:00:00,87.11
3/19/2019 16:00:00,88.09
3/20/2019 16:00:00,89.86
3/21/2019 16:00:00,90.96
3/22/2019 16:00:00,88.24
3/25/2019 16:00:00,88.71
3/26/2019 16:00:00,89.19
3/27/2019 16:00:00,88.29
3/28/2019 16:00:00,88.67
3/29/2019 16:00:00,89.04
4/1/2019 16:00:00,90.71
4/2/2019 16:00:00,90.7
4/3/2019 16:00:00,91.04
4/4/2019 16:00:00,90.94
4/5/2019 16:00:00,91.86
4/8/2019 16:00:00,92.49
4/9/2019 16:00:00,91.79
4/10/2019 16:00:00,92.37
4/11/2019 16:00:00,92.2
4/12/2019 16:00:00,92.15
4/15/2019 16:00:00,92.24
4/16/2019 16:00:00,93.15
4/17/2019 16:00:00,93.24
4/18/2019 16:00:00,93.08
4/22/2019 16:00:00,94.37
4/23/2019 16:00:00,96.19
4/24/2019 16:00:00,95.09
4/25/2019 16:00:00,95.11
4/26/2019 16:00:00,97.53
4/29/2019 16:00:00,96.92
4/30/2019 16:00:00,96.33
5/1/2019 16:00:00,95.58
5/2/2019 16:00:00,95.04
5/3/2019 16:00:00,98.12
5/6/2019 16:00:00,97.53
5/7/2019 16:00:00,96.05
5/8/2019 16:00:00,95.89
5/9/2019 16:00:00,94.99
5/10/2019 16:00:00,94.5
5/13/2019 16:00:00,91.13
5/14/2019 16:00:00,92.01
5/15/2019 16:00:00,93.56
5/16/2019 16:00:00,95.38
5/17/2019 16:00:00,93.45
5/20/2019 16:00:00,92.95
5/21/2019 16:00:00,92.88
5/22/2019 16:00:00,92.98
5/23/2019 16:00:00,90.77
5/24/2019 16:00:00,91.16
5/28/2019 16:00:00,91.82
5/29/2019 16:00:00,90.96
5/30/2019 16:00:00,90.82
5/31/2019 16:00:00,88.75
6/3/2019 16:00:00,84.63
6/4/2019 16:00:00,86.48
6/5/2019 16:00:00,86.93
6/6/2019 16:00:00,87.72
6/7/2019 16:00:00,90.2
6/10/2019 16:00:00,93.03
6/11/2019 16:00:00,93.19
6/12/2019 16:00:00,92.77
6/13/2019 16:00:00,93.52
6/14/2019 16:00:00,93.48
6/17/2019 16:00:00,94.3
6/18/2019 16:00:00,95.07
6/19/2019 16:00:00,95.44
6/20/2019 16:00:00,95.91
6/21/2019 16:00:00,95.57
6/24/2019 16:00:00,95.7
6/25/2019 16:00:00,93.91
6/26/2019 16:00:00,94.89
6/27/2019 16:00:00,95.21
6/28/2019 16:00:00,94.68
7/1/2019 16:00:00,96.11
7/2/2019 16:00:00,96.72
7/3/2019 13:00:00,96.95
7/5/2019 16:00:00,97.15
7/8/2019 16:00:00,97.62
7/9/2019 16:00:00,99.42
7/10/2019 16:00:00,100.87
7/11/2019 16:00:00,100.05
7/12/2019 16:00:00,100.55
7/15/2019 16:00:00,101.05
7/16/2019 16:00:00,100.5
7/17/2019 16:00:00,99.6
7/18/2019 16:00:00,98.9
7/19/2019 16:00:00,98.23
7/22/2019 16:00:00,99.28
7/23/2019 16:00:00,99.72
7/24/2019 16:00:00,100.04
7/25/2019 16:00:00,98.69
7/26/2019 16:00:00,97.15
7/29/2019 16:00:00,95.62
7/30/2019 16:00:00,94.93
7/31/2019 16:00:00,93.34
8/1/2019 16:00:00,92.77
8/2/2019 16:00:00,91.16
8/5/2019 16:00:00,88.26
8/6/2019 16:00:00,89.39
8/7/2019 16:00:00,89.67
8/8/2019 16:00:00,91.64
8/9/2019 16:00:00,90.38
8/12/2019 16:00:00,89.25
8/13/2019 16:00:00,91.22
8/14/2019 16:00:00,88.15
8/15/2019 16:00:00,88.81
8/16/2019 16:00:00,89.63
8/19/2019 16:00:00,90.81
8/20/2019 16:00:00,90.07
8/21/2019 16:00:00,91.18
8/22/2019 16:00:00,90.28
8/23/2019 16:00:00,87.48
8/26/2019 16:00:00,88.44
8/27/2019 16:00:00,88.09
8/28/2019 16:00:00,88.21
8/29/2019 16:00:00,89.32
8/30/2019 16:00:00,88.81
9/3/2019 16:00:00,89.49
9/4/2019 16:00:00,90.03
9/5/2019 16:00:00,92.04
9/6/2019 16:00:00,91.68
9/9/2019 16:00:00,91.57
9/10/2019 16:00:00,91.03
9/11/2019 16:00:00,91.15
9/12/2019 16:00:00,92.18
9/13/2019 16:00:00,91.97
9/16/2019 16:00:00,90.39
9/17/2019 16:00:00,91.13
9/18/2019 16:00:00,90.87
9/19/2019 16:00:00,91.08
9/20/2019 16:00:00,89.71
9/23/2019 16:00:00,89.27
9/24/2019 16:00:00,87.08
9/25/2019 16:00:00,88.42
9/26/2019 16:00:00,86.99
9/27/2019 16:00:00,86.27
9/30/2019 16:00:00,86.8
10/1/2019 16:00:00,86.78
10/2/2019 16:00:00,85.66
10/3/2019 16:00:00,86.22
10/4/2019 16:00:00,86.98
10/7/2019 16:00:00,86.63
10/8/2019 16:00:00,85.28
10/9/2019 16:00:00,86.1
10/10/2019 16:00:00,86.01
10/11/2019 16:00:00,86.6
10/14/2019 16:00:00,86.82
10/15/2019 16:00:00,88.37
10/16/2019 16:00:00,88.87
10/17/2019 16:00:00,89.37
10/18/2019 16:00:00,87.88
10/21/2019 16:00:00,89.28
10/22/2019 16:00:00,88.29
10/23/2019 16:00:00,88.11
10/24/2019 16:00:00,89.04
10/25/2019 16:00:00,88.07
10/28/2019 16:00:00,88.85
10/29/2019 16:00:00,88.14
10/30/2019 16:00:00,89
10/31/2019 16:00:00,88.83
11/1/2019 16:00:00,89.57
11/4/2019 16:00:00,90.23
11/5/2019 16:00:00,90.09
11/6/2019 16:00:00,89.79
11/7/2019 16:00:00,89.41
11/8/2019 16:00:00,89.29
11/11/2019 16:00:00,88.58
11/12/2019 16:00:00,88.9
11/13/2019 16:00:00,87.66
11/14/2019 16:00:00,87.73
11/15/2019 16:00:00,86.97
11/18/2019 16:00:00,87.63
11/19/2019 16:00:00,87.64
11/20/2019 16:00:00,87.28
11/21/2019 16:00:00,86.74
11/22/2019 16:00:00,87.29
11/25/2019 16:00:00,88.69
11/26/2019 16:00:00,89.85
11/27/2019 16:00:00,90.93
11/29/2019 13:00:00,90.04
12/2/2019 16:00:00,89.08
12/3/2019 16:00:00,88.5
12/4/2019 16:00:00,88.03
12/5/2019 16:00:00,87.02
12/6/2019 16:00:00,87.58
12/9/2019 16:00:00,87.48
12/10/2019 16:00:00,86.96
12/11/2019 16:00:00,87.44
12/12/2019 16:00:00,88.02
12/13/2019 16:00:00,88.05
12/16/2019 16:00:00,88.46
12/17/2019 16:00:00,89.53
12/18/2019 16:00:00,89.2
12/19/2019 16:00:00,89.61
12/20/2019 16:00:00,89.33
12/23/2019 16:00:00,89.65
12/24/2019 13:00:00,89.46
12/26/2019 16:00:00,93.44
12/27/2019 16:00:00,93.49
12/30/2019 16:00:00,92.34
